record_id,brand,country,region,plan_type,rate_per_min_myr,rate_fixed_per_min_myr,rate_per_sms_myr,country_code,access_code,plan_specific,notes,source_url,scraped_at
57,CelcomDigi,Faroe Islands,Other,roaming,6.0,11.0,1.0,298,,False,to_other=12.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
58,CelcomDigi,Fiji,Oceania,roaming,6.0,7.0,1.0,679,,False,to_other=12.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
59,CelcomDigi,Finland,Europe,roaming,6.0,11.0,1.0,358,,False,to_other=12.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
60,CelcomDigi,France,Europe,roaming,6.0,11.0,1.0,33,,False,to_other=15.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
61,CelcomDigi,French Polynesia,Other,roaming,,,,689,,False,,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
62,CelcomDigi,Gabon,Other,roaming,,,,241,,False,,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
63,CelcomDigi,Gambia,Other,roaming,6.0,11.0,1.0,220,,False,to_other=15.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
64,CelcomDigi,Georgia,Other,roaming,6.0,7.0,1.0,995,,False,to_other=15.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
65,CelcomDigi,Germany,Europe,roaming,6.0,11.0,1.0,49,,False,to_other=12.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
66,CelcomDigi,Ghana,Other,roaming,6.0,11.0,1.0,233,,False,to_other=15.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
