record_id,brand,country,region,plan_type,rate_per_min_myr,rate_fixed_per_min_myr,rate_per_sms_myr,notes,source_url,scraped_at
66,Maxis,Chad,Africa,postpaid,4.8,4.8,0.5,IDD 132: RM2.34/min; Dial: 132 00 <country code> <area code> <phone number>,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
67,Maxis,China,East Asia,prepaid,0.26,0.26,0.15,,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
68,Maxis,China,East Asia,postpaid,0.5,0.5,0.5,IDD 132 Fixed: RM0.09/min; Mobile: RM0.1075/min; Dial: 132 00 <country code> <area code> <phone number>,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
69,Maxis,Colombia,South America,prepaid,4.0,4.0,0.5,,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
70,Maxis,Colombia,South America,postpaid,4.8,4.8,0.5,IDD 132: RM2.34/min; Dial: 132 00 <country code> <area code> <phone number>,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
71,Maxis,Congo,Africa,prepaid,4.0,4.0,,,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
72,Maxis,Congo,Africa,postpaid,4.8,4.8,0.5,IDD 132: RM2.34/min; Dial: 132 00 <country code> <area code> <phone number>,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
73,Maxis,Costa Rica,Central America,prepaid,4.0,4.0,0.5,,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
74,Maxis,Costa Rica,Central America,postpaid,4.8,4.8,0.5,IDD 132: RM2.34/min; Dial: 132 00 <country code> <area code> <phone number>,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
75,Maxis,Croatia,Europe,prepaid,4.0,4.0,0.5,,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
76,Maxis,Croatia,Europe,postpaid,4.8,4.8,0.5,IDD 132: RM2.34/min; Dial: 132 00 <country code> <area code> <phone number>,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
77,Maxis,Cuba,Caribbean,prepaid,8.0,8.0,,,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
