record_id,brand,country,region,plan_type,rate_per_min_myr,rate_fixed_per_min_myr,rate_per_sms_myr,country_code,access_code,plan_specific,notes,source_url,scraped_at
72,Unifi,Philippines,Southeast Asia,roaming,3.0,6.0,1.5,,,False,to_other=25.0/min; incoming=4.0/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
73,Unifi,Poland,Europe,roaming,7.3,24.0,2.5,,,False,to_other=25.0/min; incoming=7.3/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
74,Unifi,Portugal,Europe,roaming,7.3,24.0,2.5,,,False,to_other=25.0/min; incoming=7.3/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
75,Unifi,Puerto Rico,Other,roaming,7.3,24.0,2.5,,,False,to_other=25.0/min; incoming=7.3/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
76,Unifi,Qatar,Middle East,roaming,7.3,24.0,2.5,,,False,to_other=25.0/min; incoming=7.3/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
77,Unifi,Romania,Middle East,roaming,7.3,24.0,2.5,,,False,to_other=25.0/min; incoming=7.3/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
78,Unifi,Russia,Europe,roaming,4.5,7.9,1.5,,,False,to_other=25.0/min; incoming=3.0/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
79,Unifi,Saudi Arabia,Middle East,roaming,5.8,9.0,1.5,,,False,to_other=25.0/min; incoming=5.8/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
80,Unifi,Serbia,Other,roaming,7.3,24.0,2.5,,,False,to_other=25.0/min; incoming=7.3/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
81,Unifi,Singapore,Southeast Asia,roaming,1.4,2.2,0.5,,,False,to_other=5.0/min; incoming=1.4/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
82,Unifi,Slovakia,Other,roaming,7.3,24.0,2.5,,,False,to_other=25.0/min; incoming=7.3/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
83,Unifi,Slovenia,Other,roaming,7.3,24.0,2.5,,,False,to_other=25.0/min; incoming=7.3/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
84,Unifi,South Africa,Other,roaming,7.3,24.0,2.5,,,False,to_other=25.0/min; incoming=7.3/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
85,Unifi,South Korea,East Asia,roaming,3.0,6.0,1.5,,,False,to_other=25.0/min; incoming=4.0/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
86,Unifi,Spain,Europe,roaming,7.3,24.0,2.5,,,False,to_other=25.0/min; incoming=7.3/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
87,Unifi,Sri Lanka,South Asia,roaming,3.0,6.0,1.5,,,False,to_other=25.0/min; incoming=4.0/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
88,Unifi,Sweden,Europe,roaming,7.3,24.0,2.5,,,False,to_other=25.0/min; incoming=7.3/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
89,Unifi,Switzerland,Europe,roaming,4.0,7.9,1.5,,,False,to_other=25.0/min; incoming=3.0/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
90,Unifi,Taiwan,East Asia,roaming,3.5,6.0,2.0,,,False,to_other=25.0/min; incoming=4.0/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
91,Unifi,Tanzania,Other,roaming,7.3,24.0,2.5,,,False,to_other=25.0/min; incoming=7.3/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
92,Unifi,Thailand,Southeast Asia,roaming,3.0,6.0,1.5,,,False,to_other=25.0/min; incoming=4.0/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
93,Unifi,Timor-Leste,Southeast Asia,roaming,7.3,24.0,2.5,,,False,to_other=25.0/min; incoming=7.3/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
94,Unifi,Türkiye,Other,roaming,4.0,7.9,1.5,,,False,to_other=25.0/min; incoming=3.0/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
95,Unifi,Ukraine,Europe,roaming,7.3,24.0,2.5,,,False,to_other=25.0/min; incoming=7.3/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
96,Unifi,United Arab Emirates,Middle East,roaming,5.0,13.6,2.0,,,False,to_other=25.0/min; incoming=5.5/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
97,Unifi,United Kingdom,Europe,roaming,7.3,24.0,2.5,,,False,to_other=25.0/min; incoming=7.3/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
98,Unifi,United States of America,North America,roaming,3.5,9.6,1.5,,,False,to_other=25.0/min; incoming=4.8/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
99,Unifi,Uruguay,Other,roaming,7.3,24.0,2.5,,,False,to_other=25.0/min; incoming=7.3/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
100,Unifi,Uzbekistan,Other,roaming,7.3,24.0,2.5,,,False,to_other=25.0/min; incoming=7.3/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
101,Unifi,Vietnam,Southeast Asia,roaming,3.0,6.0,1.5,,,False,to_other=25.0/min; incoming=4.0/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
