record_id,brand,country,region,plan_type,rate_per_min_myr,rate_fixed_per_min_myr,rate_per_sms_myr,country_code,access_code,plan_specific,notes,source_url,scraped_at
269,U Mobile,Micronesia,Other,prepaid,3.38,3.38,0.35,691.0,133,False,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
270,U Mobile,Micronesia,Other,postpaid,3.38,3.38,0.35,691.0,133,False,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
271,U Mobile,Moldova,Europe,prepaid,3.38,3.38,0.35,373.0,133,False,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
272,U Mobile,Moldova,Europe,postpaid,3.38,3.38,0.35,373.0,133,False,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
273,U Mobile,Monaco,Other,prepaid,3.38,3.38,0.35,377.0,133,False,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
274,U Mobile,Monaco,Other,postpaid,3.38,3.38,0.35,377.0,133,False,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
275,U Mobile,Mongolia,Other,prepaid,3.38,3.38,0.35,377.0,133,False,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
276,U Mobile,Mongolia,Other,postpaid,3.38,3.38,0.35,377.0,133,False,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
277,U Mobile,Montenegro,Europe,prepaid,2.38,2.38,0.35,382.0,133,False,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
278,U Mobile,Montenegro,Europe,postpaid,2.38,2.38,0.35,382.0,133,False,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
279,U Mobile,Montserrat,Other,prepaid,5.0,5.0,0.35,,133,False,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
280,U Mobile,Montserrat,Other,postpaid,5.0,5.0,0.35,,133,False,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
