record_id,brand,country,region,plan_type,rate_per_min_myr,rate_fixed_per_min_myr,rate_per_sms_myr,country_code,access_code,plan_specific,notes,source_url,scraped_at
55,Tune Talk,Bhutan,Other,prepaid,0.75,2.28,,975,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
56,Tune Talk,Bhutan,Other,postpaid,0.75,2.28,,975,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
57,Tune Talk,Bolivia,Other,prepaid,0.75,2.28,,591,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
58,Tune Talk,Bolivia,Other,postpaid,0.75,2.28,,591,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
59,Tune Talk,Bosnia Herzegovina,Other,prepaid,3.88,2.28,,387,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
60,Tune Talk,Bosnia Herzegovina,Other,postpaid,3.88,2.28,,387,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
61,Tune Talk,Botswana,Other,prepaid,0.75,2.28,,267,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
62,Tune Talk,Botswana,Other,postpaid,0.75,2.28,,267,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
63,Tune Talk,Brazil,South America,prepaid,0.75,2.28,,55,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
64,Tune Talk,Brazil,South America,postpaid,0.75,2.28,,55,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
65,Tune Talk,British Virgin Islands,Other,prepaid,0.75,2.28,,1,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
66,Tune Talk,British Virgin Islands,Other,postpaid,0.75,2.28,,1,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
67,Tune Talk,Brunei,Southeast Asia,prepaid,0.4,0.2,,673,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
68,Tune Talk,Brunei,Southeast Asia,postpaid,0.4,0.2,,673,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
69,Tune Talk,Bulgaria,Europe,prepaid,0.35,2.28,,359,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
70,Tune Talk,Bulgaria,Europe,postpaid,0.35,2.28,,359,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
71,Tune Talk,Burkina Faso,Other,prepaid,2.28,3.88,,226,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
72,Tune Talk,Burkina Faso,Other,postpaid,2.28,3.88,,226,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
73,Tune Talk,Burundi Kingdom,Other,prepaid,0.48,3.88,,257,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
74,Tune Talk,Burundi Kingdom,Other,postpaid,0.48,3.88,,257,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
75,Tune Talk,Cambodia,Southeast Asia,prepaid,0.35,0.28,,855,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
76,Tune Talk,Cambodia,Southeast Asia,postpaid,0.35,0.28,,855,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
77,Tune Talk,Cameroon,Other,prepaid,0.35,2.28,,237,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
78,Tune Talk,Cameroon,Other,postpaid,0.35,2.28,,237,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
79,Tune Talk,Canada,North America,prepaid,0.35,0.45,,1,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
80,Tune Talk,Canada,North America,postpaid,0.35,0.45,,1,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
81,Tune Talk,Cape Verde Islands,Other,prepaid,0.48,2.28,,238,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
82,Tune Talk,Cape Verde Islands,Other,postpaid,0.48,2.28,,238,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
83,Tune Talk,Cayman Islands,Other,prepaid,0.75,2.28,,1,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
84,Tune Talk,Cayman Islands,Other,postpaid,0.75,2.28,,1,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
85,Tune Talk,Central African Republic,Other,prepaid,0.48,5.88,,236,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
86,Tune Talk,Central African Republic,Other,postpaid,0.48,5.88,,236,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
87,Tune Talk,Chad,Other,prepaid,2.28,3.88,,235,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
88,Tune Talk,Chad,Other,postpaid,2.28,3.88,,235,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
89,Tune Talk,Chile,South America,prepaid,14.88,2.28,,56,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
90,Tune Talk,Chile,South America,postpaid,14.88,2.28,,56,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
91,Tune Talk,China,East Asia,prepaid,0.35,0.28,,86,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
92,Tune Talk,China,East Asia,postpaid,0.35,0.28,,86,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
93,Tune Talk,Christmas Islands,Other,prepaid,0.88,0.88,,61891,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
94,Tune Talk,Christmas Islands,Other,postpaid,0.88,0.88,,61891,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
95,Tune Talk,Cocos Islands,Other,prepaid,0.88,0.88,,61891,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
96,Tune Talk,Cocos Islands,Other,postpaid,0.88,0.88,,61891,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
97,Tune Talk,Colombia,South America,prepaid,0.75,0.48,,57,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
98,Tune Talk,Colombia,South America,postpaid,0.75,0.48,,57,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
99,Tune Talk,Comoros,Other,prepaid,2.88,2.88,,269,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
100,Tune Talk,Comoros,Other,postpaid,2.88,2.88,,269,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
101,Tune Talk,Congo,Other,prepaid,4.88,4.88,,242,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
102,Tune Talk,Congo,Other,postpaid,4.88,4.88,,242,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
103,Tune Talk,Cook Islands,Other,prepaid,0.48,7.88,,682,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
104,Tune Talk,Cook Islands,Other,postpaid,0.48,7.88,,682,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
105,Tune Talk,Costa Rica,Other,prepaid,0.35,0.88,,506,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
106,Tune Talk,Costa Rica,Other,postpaid,0.35,0.88,,506,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
107,Tune Talk,Croatia,Europe,prepaid,3.88,2.28,,385,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
108,Tune Talk,Croatia,Europe,postpaid,3.88,2.28,,385,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
109,Tune Talk,Cuba,Other,prepaid,5.88,5.88,,53,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
110,Tune Talk,Cuba,Other,postpaid,5.88,5.88,,53,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
111,Tune Talk,Cyprus,Other,prepaid,0.88,0.88,,357,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
112,Tune Talk,Cyprus,Other,postpaid,0.88,0.88,,357,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
113,Tune Talk,Czech Republic,Europe,prepaid,0.75,0.88,,420,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
114,Tune Talk,Czech Republic,Europe,postpaid,0.75,0.88,,420,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
115,Tune Talk,Dem. Rep. of Congo,Other,prepaid,5.88,5.88,,243,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
116,Tune Talk,Dem. Rep. of Congo,Other,postpaid,5.88,5.88,,243,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
117,Tune Talk,Denmark,Europe,prepaid,0.75,2.28,,45,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
118,Tune Talk,Denmark,Europe,postpaid,0.75,2.28,,45,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
119,Tune Talk,Diego Garcia,Other,prepaid,0.48,7.88,,246,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
120,Tune Talk,Diego Garcia,Other,postpaid,0.48,7.88,,246,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
121,Tune Talk,Djibouti,Other,prepaid,2.28,2.28,,253,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
122,Tune Talk,Djibouti,Other,postpaid,2.28,2.28,,253,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
123,Tune Talk,Dominica,Other,prepaid,0.28,2.28,,1,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
124,Tune Talk,Dominica,Other,postpaid,0.28,2.28,,1,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
125,Tune Talk,Dominican Republic,Other,prepaid,0.48,2.28,,1,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
126,Tune Talk,Dominican Republic,Other,postpaid,0.48,2.28,,1,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
127,Tune Talk,Ecuador,Other,prepaid,2.28,2.28,,593,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
128,Tune Talk,Ecuador,Other,postpaid,2.28,2.28,,593,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
129,Tune Talk,Egypt,Middle East,prepaid,0.35,2.28,,20,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
130,Tune Talk,Egypt,Middle East,postpaid,0.35,2.28,,20,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
131,Tune Talk,El Salvador,Other,prepaid,0.28,2.28,,503,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
132,Tune Talk,El Salvador,Other,postpaid,0.28,2.28,,503,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
133,Tune Talk,Equatorial Guinea,Other,prepaid,0.75,3.88,,240,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
134,Tune Talk,Equatorial Guinea,Other,postpaid,0.75,3.88,,240,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
135,Tune Talk,Eritrea,Other,prepaid,2.28,2.28,,291,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
136,Tune Talk,Eritrea,Other,postpaid,2.28,2.28,,291,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
