record_id,brand,country,region,plan_type,rate_per_min_myr,rate_fixed_per_min_myr,rate_per_sms_myr,notes,source_url,scraped_at
2425,U Mobile,Ivory Coast,Africa,postpaid,3.38,3.38,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2426,U Mobile,Ivory Coast,Africa,prepaid,3.38,3.38,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2427,U Mobile,Jamaica,Caribbean,postpaid,3.38,3.38,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2428,U Mobile,Jamaica,Caribbean,prepaid,3.38,3.38,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2429,U Mobile,Japan,East Asia,postpaid,0.98,0.28,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2430,U Mobile,Japan,East Asia,prepaid,0.98,0.28,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2431,U Mobile,Jordan,Middle East,postpaid,1.38,1.38,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2432,U Mobile,Jordan,Middle East,prepaid,1.38,1.38,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2433,U Mobile,Kazakhstan,Central Asia,postpaid,3.38,3.38,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2434,U Mobile,Kazakhstan,Central Asia,prepaid,3.38,3.38,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2435,U Mobile,Kenya,Africa,postpaid,3.38,3.38,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2436,U Mobile,Kenya,Africa,prepaid,3.38,3.38,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
